model_id,adapter_dir,benchmark,accuracy,binary_f1,macro_f1
google/gemma-2b,base,indic_sentiment,0.9080,0.9000,0.9074
google/gemma-2b,base,indic_copa,0.4932,0.5648,0.4792
google/gemma-2b,base,indic_xnli,0.3323,N/A,0.1869
google/gemma-2b,base,arc_easy,0.6216,N/A,0.4902
google/gemma-2b,base,arc_challenge,0.4377,N/A,0.4201
google/gemma-2b,./gemma-2b-marathi-lora,indic_sentiment,0.8480,0.8195,0.8441
google/gemma-2b,./gemma-2b-marathi-lora,indic_copa,0.5000,0.6595,0.3594
google/gemma-2b,./gemma-2b-marathi-lora,indic_xnli,0.3451,N/A,0.2906
google/gemma-2b,./gemma-2b-marathi-lora,arc_easy,0.3519,N/A,0.2076
google/gemma-2b,./gemma-2b-marathi-lora,arc_challenge,0.2756,N/A,0.1339
google/gemma-2-2b-it,base,indic_sentiment,0.9560,0.9560,0.9560
google/gemma-2-2b-it,base,indic_copa,0.5068,0.0179,0.3443
google/gemma-2-2b-it,base,indic_xnli,0.3956,N/A,0.2977
google/gemma-2-2b-it,base,arc_easy,0.8497,N/A,0.8799
google/gemma-2-2b-it,base,arc_challenge,0.5410,N/A,0.5404
google/gemma-2-2b-it,./gemma-2-2b-it-marathi-lora,indic_sentiment,0.9660,0.9657,0.9660
google/gemma-2-2b-it,./gemma-2-2b-it-marathi-lora,indic_copa,0.5023,0.0000,0.3343
google/gemma-2-2b-it,./gemma-2-2b-it-marathi-lora,indic_xnli,0.3597,N/A,0.2727
google/gemma-2-2b-it,./gemma-2-2b-it-marathi-lora,arc_easy,0.6237,N/A,0.6135
google/gemma-2-2b-it,./gemma-2-2b-it-marathi-lora,arc_challenge,0.2961,N/A,0.1782
