model_id,adapter_dir,benchmark,accuracy,binary_f1,macro_f1
google/gemma-2-2b,base,indic_sentiment,0.9180,0.9093,0.9172
google/gemma-2-2b,base,indic_copa,0.5698,0.6013,0.5671
google/gemma-2-2b,base,indic_xnli,0.3782,N/A,0.3075
google/gemma-2-2b,base,arc_easy,0.8085,N/A,0.6463
google/gemma-2-2b,base,arc_challenge,0.6570,N/A,0.5247
google/gemma-2-2b,./gemma-2-2b-marathi-lora,indic_sentiment,0.9520,0.9502,0.9519
google/gemma-2-2b,./gemma-2-2b-marathi-lora,indic_copa,0.5158,0.6687,0.3846
google/gemma-2-2b,./gemma-2-2b-marathi-lora,indic_xnli,0.4439,N/A,0.3551
google/gemma-2-2b,./gemma-2-2b-marathi-lora,arc_easy,0.7424,N/A,0.7924
google/gemma-2-2b,./gemma-2-2b-marathi-lora,arc_challenge,0.4300,N/A,0.3043
google/gemma-2b-it,base,indic_sentiment,0.5010,0.6617,0.3556
google/gemma-2b-it,base,indic_copa,0.5023,0.0000,0.3343
google/gemma-2b-it,base,indic_xnli,0.3329,N/A,0.1696
google/gemma-2b-it,base,arc_easy,0.3215,N/A,0.1893
google/gemma-2b-it,base,arc_challenge,0.2927,N/A,0.2507
google/gemma-2b-it,./gemma-2b-it-marathi-lora,indic_sentiment,0.8710,0.8724,0.8710
google/gemma-2b-it,./gemma-2b-it-marathi-lora,indic_copa,0.5023,0.2191,0.4269
google/gemma-2b-it,./gemma-2b-it-marathi-lora,indic_xnli,0.3335,N/A,0.1919
google/gemma-2b-it,./gemma-2b-it-marathi-lora,arc_easy,0.2500,N/A,0.0895
google/gemma-2b-it,./gemma-2b-it-marathi-lora,arc_challenge,0.2765,N/A,0.2052
